remark,"CSV-Import-Export"
remark,"Date = Thu Dec  2 17:31:59 2021"
remark,"Version = RSLogix 5000 v32.00"
remark,"Owner = "
remark,"Company = "
0.3
TAG,MainProgram,guard_1_0,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,guard_1_1,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,LINE_A_GREEN,"","","Local:6:O.Pt05.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,LINE_A_RED,"","","Local:6:O.Pt06.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,LINE_C_GREEN,"","","Local:6:O.Pt07.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,LINE_C_RED,"","","Local:6:O.Pt08.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,liquid_filled,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,liquid_type,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,main_system_active,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,MOTOR_1,"","","Local:4:O.Pt14.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,MOTOR_2,"","","Local:4:O.Pt15.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,moved_bottle,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,moved_bottle_success,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,move_bottle_to_conveyor,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,num_bottles_to_fill,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,num_filled,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,num_of_bottles,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,PB1_NO,"","","Local:1:I.Pt03.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,PB2_NO,"","","Local:1:I.Pt05.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,PB3_NO,"","","Local:1:I.Pt07.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,PB4_NO,"","","Local:1:I.Pt09.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,PB5_NO,"","","Local:1:I.Pt11.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,power_on,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,recipents_filled,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,recovery_on,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,recovery_system_active,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,recovery_timer,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,required_placeholder_conveyor,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,required_placeholder_feeder,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,required_placeholder_packaging,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,shutdown_system_active,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW1_NO,"","","Local:2:I.Pt03.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW2_NO,"","","Local:2:I.Pt05.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW3_LEFT_NO,"","","Local:2:I.Pt07.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW3_RIGHT_NO,"","","Local:2:I.Pt08.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW4_NO_1,"","","Local:3:I.Pt00.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW4_NO_2,"","","Local:3:I.Pt01.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW5_NO_1,"","","Local:3:I.Pt06.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,SW5_NO_2,"","","Local:3:I.Pt07.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,system_on,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,system_running,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,total_0_0,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,total_0_1,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,total_1_0,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,total_1_1,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,total_volume,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,MainProgram,tower_green,"","","Local:6:O.Pt15.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,tower_red,"","","Local:6:O.Pt13.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,MainProgram,tower_yellow,"","","Local:6:O.Pt14.Data","(RADIX := Decimal, ExternalAccess := Read/Write)"
TAG,MainProgram,tried_moving_bottle,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MainProgram,volume_liquid,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"MainProgram","MainRoutine","Calls conveyor subroutine","JSR(conveyor,3,can_turn_on,moved_bottle_success,filled_bottles,system_on,recovery_on,tried_moving_bottle,num_bottles_to_fill)","0"
